STT,Questions,Entities,Grade,Unit,Assign,Check Done,Cypher Query,Query Type,Note,# Single-Single,# Single-Multi,# Multi-Single,# Multi-Multi,label,event_type
1,Hãy trình bày diễn biến trận chiến trên sông Bạch Đằng năm 938 do Ngô Quyền lãnh đạo,"trận chiến trên sông Bạch Đằng | năm 938 | Ngô Quyền
tran_chien | thoi_gian | nhan_vat",10,16,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""trận chiến trên sông Bạch Đằng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 938""
match (e)-[:doi_tuong_lanh_dao]-(c) where c.name = ""Ngô Quyền""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,244,7,8,77,1,#REF!
2,Nguyên nhân diễn ra trận chiến Bạch Đằng năm 938 là gì?,"trận chiến Bạch Đằng | năm 938
tran_chien | thoi_gian",10,16,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""trận chiến Bạch Đằng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name =  ""năm 938""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,4,
3,Nguyên nhân khiến quân Tống quyết định xâm lược Đại Việt lần thứ hai năm 1075 là?,"quân Tống | Đại Việt | năm 1075
to_chuc | to_chuc | thoi_gian",10,19,NgocLD,TRUE,"match (e:Event)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(a) where a.name = ""quân Tống""
match (e)-[:doi_tuong_bi_tan_cong]-(b) where b.name = ""Đại Việt"" 
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c) where c.name = ""năm 1075""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
4,Việc thành lập nhà nước Vạn Xuân có ý nghĩa:,"nhà nước Vạn Xuân
to_chuc",10,16,NgocLD,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""nhà nước Vạn Xuân""
match (e)-[:y_nghia]-(b) 
return b",single - single,,,,,,3,
5,Liệt kê các cuộc khởi nghĩa tiêu biểu của nhân dân ta từ thế kỉ I đến thế kỉ XX,"thế kỉ I | thế kỉ XX
thoi_gian | thoi_gian",10,16,NgocLD,FALSE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau]-(a) where a.name = ""thế kỉ I""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b) where b.name = ""thế kỉ X""
match (e)-[:bao_gom]-(c:CuocKhoiNghia) return c",single - multi,,,,,,,
6,Diễn biến cuộc khởi nghĩa Hai Bà Trưng,"cuộc khởi nghĩa Hai Bà Trưng
tran_chien",10,16,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc khởi nghĩa Hai Bà Trưng""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,8,
7,Đảng Dân chủ Việt Nam được thành lập vào thời gian nào?,"Đảng Dân chủ Việt Nam
to_chuc",12,74,HungTX,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Dân chủ Việt Nam""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
8,Vào đầu năm 1945 Hồng quân Liên Xô tấn công phát xít Đức tại đâu?,"đầu năm 1945 | Hồng quân Liên Xô | phát xít Đức
thoi_gian | quan_doi | quan_doi",12,74,HungTX,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""đầu năm 1945""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""Hồng quân Liên Xô""
match (e)-[:doi_tuong_bi_tan_cong]-(c) where c.name = ""phát xít Đức""
match (e)-[:(dien_ra_o|thuoc)*]-(d)
return d",single - single,,,,,,2,
9,Nguyên nhân khiến Nhật Bản đầu hàng Đồng minh là gì?,"Nhật Bản | Đồng minh
dia_diem | to_chuc",12,74,HungTX,TRUE,"match (e:Event)-[:doi_tuong_dau_hang]-(a) where a.name = ""Nhật Bản""
match (e)-[:doi_tuong_chien_thang]-(b) where b.name = ""Đồng minh""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
10,Liên minh nhân dân Việt - Miên - Lào được thành lập từ các tổ chức nào?,"Liên minh nhân dân Việt - Miên - Lào
to_chuc",12,77,HungTX,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên minh nhân dân Việt - Miên - Lào""
match (e)-[:thanh_lap_boi]-(b) 
return b",single - single,,,,,,14,
11,Chính phủ Pháp đã cử ai làm Tổng chỉ huy quân đội viễn chinh Pháp ở Đông Dương để thay thế cho tướng Xalăng?,"Chính phủ Pháp | Tổng chỉ huy quân đội viễn chinh Pháp ở Đông Dương | tướng Xalăng
to_chuc | chuc_vu | nhan_vat",12,78,HungTX,TRUE,"match (e:Event)-[:doi_tuong_bo_nhiem]-(a) where a.name = ""Chính phủ Pháp""
match (e)-[:vai_tro]-(b) where b.name = ""Tổng chỉ huy quân đội viễn chinh Pháp ở Đông Dương""
match (e)-[:doi_tuong_bi_thay_the]-(c) where c.name = ""tướng Xalăng""
match (e)-[:doi_tuong_dam_nhiem]-(d)
return d",single - single,,,,,,2,
12,Chính phủ Pháp đã cử tướng Nava làm Tổng chỉ huy quân đội viễn chinh Pháp ở Đông Dương để thay thế cho ai?,"Chính phủ Pháp | tướng Nava | Tổng chỉ huy quân đội viễn chinh Pháp ở Đông Dương
to_chuc | nhan_vat | chuc_vu",12,78,HungTX,TRUE,"match (e:Event)-[:doi_tuong_bo_nhiem]-(a) where a.name = ""Chính phủ Pháp""
match (e)-[:doi_tuong_dam_nhiem]-(b) where b.name = ""tướng Nava""
match (e)-[:vai_tro]-(c) where c.name = ""Tổng chỉ huy quân đội viễn chinh Pháp ở Đông Dương""
match (e)-[:doi_tuong_bi_thay_the]-(d)
return d",single - single,,,,,,2,
13,Khởi nghĩa Lam Sơn do ai lãnh đạo,"Khởi nghĩa Lam Sơn
tran_chien",10,19,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Khởi nghĩa Lam Sơn""
match (e)-[:doi_tuong_lanh_dao]-(b) 
return b",single - single,,,,,,9,
14,Cuộc khởi nghĩa Lam Sơn do Lê Lợi lãnh đạo diễn ra vào quảng thời gian nào?,"Cuộc khởi nghĩa Lam Sơn | Lê Lợi 
tran_chien | nhan_vat",10,19,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc khởi nghĩa Lam Sơn""
match (e)-[:doi_tuong_lanh_dao]-(b) where b.name = ""Lê Lợi""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c)
return c",single - single,,,,,,3,
15,Cuộc khởi nghĩa Hai Bà Trưng diễn ra vào thời gian nào?,"Cuộc khởi nghĩa Hai Bà Trưng
tran_chien",10,16,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc khởi nghĩa Hai Bà Trưng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b
",single - single,,,,,,15,
16,Liên hiệp đấu tranh giải phóng giai cấp công nhân được thành lập vào thời gian nào?,"Liên hiệp đấu tranh giải phóng giai cấp công nhân
to_chuc",10,37,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên hiệp đấu tranh giải phóng giai cấp công nhân""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,2,
17,Ai đã sát hại Dương Đình Nghệ?,"Dương Đình Nghệ
nhan_vat",10,,NgocLD,TRUE,"match (e:Giet)-[:doi_tuong_bi_giet]-(a) where a.name = ""Dương Đình Nghệ""
match (e)-[:doi_tuong_thuc_hien]-(b) return b",single - single,,,,,,1,
18,Liên hiệp đấu tranh giải phóng giai cấp công nhân do ai thành lập?,"Liên hiệp đấu tranh giải phóng giai cấp công nhân 
to_chuc",10,37,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên hiệp đấu tranh giải phóng giai cấp công nhân""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,,,,,,3,
19,Liên hiệp đấu tranh giải phóng giai cấp công nhân được thành lập ở đâu?,"Liên hiệp đấu tranh giải phóng giai cấp công nhân 
to_chuc",10,37,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên hiệp đấu tranh giải phóng giai cấp công nhân""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,2,
20,Đảng Công nhân xã hội dân chủ Nga được thành lập khi nào?,"Đảng Công nhân xã hội dân chủ Nga
to_chuc",10,37,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Công nhân xã hội dân chủ Nga""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,2,
21,Đảng Công nhân xã hội dân chủ Nga được thành lập ở đâu?,"Đảng Công nhân xã hội dân chủ Nga
to_chuc",10,37,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Công nhân xã hội dân chủ Nga""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,2,
22,Nguyên nhân cuộc biểu tình chống lại Nga hoàng năm 1905 là gì?,"Nga hoàng | năm 1905
to_chuc| thoi_gian",10,37,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_bi_tan_cong]-(a) where a.name = ""Nga hoàng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 1905""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
23,Đối tượng tham gia cuộc biểu tình chống lại Nga hoàng năm 1905 là ai?,"Nga hoàng | năm 1905
to_chuc| thoi_gian",10,37,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_bi_tan_cong]-(a) where a.name = ""Nga hoàng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 1905""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c",single - single,,,,,,5,
24,Diễn biến của quá trình chống lại chế độ Nga hoàng năm 1905 ?,"chế độ Nga hoàng  | năm 1905
to_chuc | thoi_gian",10,37,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_bi_tan_cong]-(a) where a.name = ""chế độ Nga hoàng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 1905""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
25,Kết quả của quá trình chống lại chế độ Nga hoàng năm 1905 ?,"chế độ Nga hoàng | năm 1905
to_chuc | thoi_gian",10,37,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_bi_tan_cong]-(a) where a.name = ""chế độ Nga hoàng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 1905""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
26,Sự kiện nào đánh dấu việc thiết lập chế độ quân chủ lập hiến ở Nhật Bản?,"chế độ quân chủ lập hiến | Nhật Bản
che_do | đia_diem",11,38,QuanPV,FALSE,,single - single,,,,,,,
27,Đảng Xã hội dân chủ Nhật Bản được thành lập khi nào?,"Đảng Xã hội dân chủ Nhật Bản
to_chuc",11,38,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Xã hội dân chủ Nhật Bản""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
28,Đảng Xã hội dân chủ Nhật Bản được thành lập bởi ai?,"Đảng Xã hội dân chủ Nhật Bản
to_chuc",11,38,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Xã hội dân chủ Nhật Bản""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,,,,,,14,
29,Đảng Xã hội dân chủ Nhật Bản được thành lập ở đâu?,"Đảng Xã hội dân chủ Nhật Bản
to_chuc",11,38,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Xã hội dân chủ Nhật Bản""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,7,
30,Quốc dân đại hội Tân Trào được tổ chức vào thời gian nào?,"Quốc dân đại hội Tân Trào
cuoc_hop",11,39,QuanPV,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Quốc dân đại hội Tân Trào""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
31,Quốc dân đại hội Tân Trào được tổ chức ở đâu?,"Quốc dân đại hội Tân Trào 
cuoc_hop",11,39,QuanPV,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Quốc dân đại hội Tân Trào""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,7,
32,Mục đích Anh ban hành đạo luật chia đôi xứ Ben-gan là gì?,"Anh | đạo luật chia đôi xứ Ben-gan
dia_diem | chinh_sach",11,39,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_ban_hanh]-(a) where a.name = ""Anh""
match (e)-[:ban_hanh]-(b) where b.name = ""đạo luật chia đôi xứ Ben-gan""
match (e)-[:muc_tieu]-(c)
return c",single - single,,,,,,2,
